ROUND,HOME,SCORE,SCORE,AWAY,OT
4,GMLA Angels,11,10,The Swanbourne Identity,
4,Claremont Cereal Killahs,3,6,Karrakatta Grim Jobs,
4,Morning Brentwood,5,10,Balcatta Bandits,
4,Scarbara Kadabra,8,7,Marmion Mighty Drunks,
4,Freo Dirty Dog Beachers,10,4,Bedford Rave Lords,
4,Yokine Reservoir Dogs,13,2,North Perth Bald Beavers,
4,South Perth Major Blazers,4,12,Maylands Muthapuckas,
4,Wilson Castaways,7,9,Dalkeith Dalqueefs,
4,Black Wall Reach Arounds,7,15,Riverton Regretzkys,
4,50 Shades of Graylands,8,7,Dianella Demons,
4,Bayswater Barracudas,8,4,Roleystone Henges,
4,Como Mo Co,12,10,Churchlands Hellraisers,
4,You Used To Como On My Cell Phone,12,5,Yokine Drugs n' Crime,
4,Mt Pleasant Mounties,13,9,Bayswater Croquet Club,
4,Doubleview Double Yewws,4,9,Labia Menora Explorers,
4,Lake Mongrels,10,15,Hungry Spot Heroes,
4,Inglewood Coldcuts,7,8,Wembley Blue Light Discos,
4,Dalkeith Urban's,2,8,Balingup Bruisers,
4,City Beach Kooks,6,5,Stirling From The Bottom Now We're Here,
4,Bayslaughter House 5,10,9,High Gates,OT
4,Rollerburger Leedervillains,15,5,Swanbourne Nudists,
4,Stirling Archers,3,6,Shannon Nollamaras,
4,Northbridge MDM8's,13,9,Ocean Beef,
4,Morley Puck Troopers,14,12,Bicton Banter Lords,
4,Mindarie Molotovs,15,11,Manning Manchilds,
4,Get Bentley,8,7,Westeros Perth R'hllors,
4,Stoneville Sloths,10,7,Rottnest Holy Quokkamoles,
4,Whitfords City Turbo Tuggers,7,12,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,
4,U.S.S.R,7,8,Leeming Chin,
4,Como At Me Bro,7,16,Heathcote Hangers,
4,K-Town Cooks,8,13,Mount Lawless,
4,Mosman Mooseknuckles,16,8,Subiaco Silkworms,
4,Rocko Rodents,6,10,Palmyra Puck Patrol,
4,Scarborough Scar Bros,11,7,Jason Alexander Heights,
4,Swanbourne Sand People,6,18,Perth Glory Holes,
4,Rocko's Modern Rollers,5,7,Salter Point Pint Sucklers,
4,Hillarys Humpbacks,7,9,Hyde Park Hacks,
4,Dog Swamp Swamp Dogs,8,13,West Stirling Banjo Breakers,
4,Burswood 6100s,,,GMLA Guardians,
4,Kalamunda Hillbillies,6,15,Nedlands Flanders,
4,Murray Street Tramps,10,0,Vic Park Vanguards,
4,Fremantle Metropolis Double Blacks,9,12,Booragoonbagz,
4,Bicton Four 'n Twenty,6,16,St James Addictions,
4,South Perth Sam's Green Eggs and Ham,5,12,Mount Hawt'n'horny,
4,Perth City Puck Pirates,13,3,East Freo Bae Blades,
4,Wembley Food Courts,3,9,Mullaloozers,
4,Innaloominati,12,8,GMLA Jurassic Pucks,
5,Balcatta Bandits,13,6,Mosman Mooseknuckles,
5,Dalkeith Urban's,3,7,Get Bentley,
5,Mount Hawt'n'horny,6,10,Fremantle Metropolis Double Blacks,
5,Leeming Chin,6,11,Stoneville Sloths,
5,U.S.S.R,7,8,Perth City Puck Pirates,
5,Westeros Perth R'hllors,0,10,Mörley Crüe,
5,Yokine Drugs n' Crime,6,14,Lake Mongrels,
5,50 Shades of Graylands,12,11,Hillarys Humpbacks,
5,Dianella Demons,15,6,Dog Swamp Swamp Dogs,
5,Doubleview Double Yewws,11,7,Whitfords City Turbo Tuggers,
5,GMLA Jurassic Pucks,11,3,Bayswater Barracudas,
5,Jason Alexander Heights,6,16,West Stirling Banjo Breakers,
5,Northbridge MDM8'S,12,10,Hungry Spot Heroes,
5,Perth Glory Holes,9,5,Rocko Rodents,
5,Rocko's Modern Rollers,9,4,Kalamunda Hillbillies,
5,South Perth Major Blazers,10,9,Palmyra Puck Patrol,
5,Stirling Archers,5,12,Wilson Castaways,
5,Morning Brentwood,8,9,GMLA Angels,
5,K-Town Cooks,7,6,Manning Manchilds,
5,Mt Pleasant Mounties,5,9,Mindarie molotovs,
5,Churchlands Hellraisers,21,8,South Perth Shakas,
5,Swanbourne Nudists,7,11,Wembley Food Courts,
5,Kensington Kermits,2,8,Swan View Draught,
5,Canning Bridge Trolls,11,14,Riverton Regretzkys,
5,Yokine Reservoir Dogs,2,9,Ocean Beef,
5,Rollerburger Leedervillains,7,12,The Swanbourne Identity,
5,Patrick Bateman,11,10,Bicton Banter Lords,
5,Karrakatta Grim Jobs,8,6,Mullaloozers,
5,Maylands Muthapuckas,15,2,Bedford Rave Lords,
5,Bayswater Croquet Club,15,14,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,OT
5,Black Wall Reach Arounds,14,10,Bayslaughter House 5,
5,Burswood 6100s,14,11,Claremont Cereal Killahs,
5,City Beach Kooks,13,12,Como At Me Bro,
5,Como Mo Co,7,9,Mount Lawless,
5,GMLA Guardians,0,10,Morley Puck Troopers,
5,Greenmount Doom,14,13,Labia Menora Explorers,
5,Murray Street Tramps,7,6,Balingup Bruisers,
5,Roleystone Henges,5,9,Dalkeith Dalqueefs,
5,You Used To Como On My Cell Phone,8,10,Rottnest Holy Quokkamoles,
5,Swanbourne Sand People,7,7,Shannon Nollamaras,
5,East Freo Bae Blades,,,South Perth Sam's Green Eggs and Ham,
5,Freo Dirty Dog Beachers,9,10,Bicton Four 'n Twenty,OT
5,Wembley Blue Light Discos,6,8,Subiaco Silkworms,
5,Nedlands Flanders,13,10,Booragoonbagz,
5,St James Addictions,7,8,Hyde Park Hacks,
5,High Gates,9,11,Inglewood Coldcuts,
5,Scarborough Scar Bros,8,4,Scarbara Kadabra,
5,Salter Point Pint Sucklers,14,10,North Beach Bearded Clams,
5,Vic Park Vanguards,0,10,North Perth Bald Beavers,
5,Innaloominati,9,5,Stirling From the Bottom Now We're Here,
5,Heathcote Hangers,7,5,Marmion Mighty Drunks,
6,Ocean Beef,10,0,Karrakatta Grim Jobs,
6,Balcatta Bandits,15,10,Rollerburger Leedervillains,
6,Mörley Crüe,10,4,U.S.S.R,
6,Morley Puck Troopers,6,21,Patrick Bateman,
6,Riverton Regretzkys,13,6,Kensington Kermits,
6,West Stirling Banjo Breakers,13,15,Wembley Food Courts,
6,Dianella Demons,6,12,South Perth Shakas,
6,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,10,11,Greenmount Doom,
6,Como At Me Bro,9,10,Freo Dirty Dog Beachers,OT
6,Labia Menora Explorers,14,12,Canning Bridge Trolls,
6,Swan View Draught,16,8,Black Wall Reach Arounds,
6,Leeming Chin,8,9,Wembley Blue Light Discos,
6,Bicton Banter Lords,12,14,Churchlands Hellraisers,
6,The Swanbourne Identity,10,4,Burswood 6100s,
6,Whitfords City Turbo Tuggers,5,15,Mindarie molotovs,
6,50 Shades of Graylands,6,10,Yokine Reservoir Dogs,
6,Scarbara Kadabra,7,8,Perth City Puck Pirates,OT
6,Doubleview Double Yewws,14,15,Bayswater Croquet Club,
6,Bayswater Barracudas,6,12,High Gates,
6,Palmyra Puck Patrol,9,6,City Beach Kooks,
6,South Perth Major Blazers,4,14,Hungry Spot Heroes,
6,North Beach Bearded Clams,10,9,Dalkeith Urban's,OT
6,Yokine Drugs n' Crime,12,10,East Freo Bae Blades,
6,South Perth Sam's Green Eggs and Ham,7,10,Stoneville Sloths,
6,Balingup Bruisers,10,12,You Used To Como On My Cell Phone,
6,Bedford Rave Lords,10,0,Vic Park Vanguards,
6,Kalamunda Hillbillies,10,0,Fremantle Metropolis Double Blacks,
6,Jason Alexander Heights,9,16,Innaloominati,
6,Bayslaughter House 5,10,9,Hillarys Humpbacks,
6,Mt Pleasant Mounties,6,11,Como Mo Co,
6,Claremont Cereal Killahs,13,9,GMLA Angels,
6,Dalkeith Dalqueefs,7,9,Dog Swamp Swamp Dogs,
6,Bicton Four 'n Twenty,15,14,Lake Mongrels,OT
6,Mullaloozers,10,0,GMLA Guardians,
6,Booragoonbagz,15,10,Roleystone Henges,
6,Mount Hawt'n'horny,2,6,Swanbourne Sand People,
6,Get Bentley,7,10,Murray Street Tramps,
6,Shannon Nollamaras,6,10,Nedlands Flanders,
6,Mount Lawless,12,9,Heathcote Hangers,
6,Hyde Park Hacks,8,12,K-Town Cooks,
6,North Perth Bald Beavers,11,6,Manning Manchilds,
6,Inglewood Coldcuts,4,14,Maylands Muthapuckas,
6,Stirling Archers,6,16,Mosman Mooseknuckles,
6,Subiaco Silkworms,2,13,Morning Brentwood,
6,GMLA Jurassic Pucks,7,11,Northbridge MDM8'S,
6,Marmion Mighty Drunks,13,15,Salter Point Pint Sucklers,
6,Rocko's Modern Rollers,4,6,Scarborough Scar Bros,
6,Rocko Rodents,5,15,St James Addictions,
6,Westeros Perth R'hllors,,,Swanbourne Nudists,
6,Perth Glory Holes,7,10,Wilson Castaways,
6,Rottnest Holy Quokkamoles,9,8,Stirling From the Bottom Now We're Here,
7,Mörley Crüe,5,13,West Stirling Banjo Breakers,
7,Vic Park Vanguards,0,10,Rocko's Modern Rollers,
7,Stirling From the Bottom Now We're Here,8,2,Nedlands Flanders,
7,Claremont Cereal Killahs,8,11,Mt Pleasant Mounties,
7,Karrakatta Grim Jobs,13,7,Riverton Regretzkys,
7,Patrick Bateman,9,5,GMLA Angels,
7,Balcatta Bandits,15,7,Churchlands Hellraisers,
7,City Beach Kooks,9,4,North Beach Bearded Clams,
7,Wembley Food Courts,11,8,Dianella Demons,
7,Freo Dirty Dog Beachers,6,7,Heathcote Hangers,
7,Kensington Kermits,8,10,Rollerburger Leedervillains,
7,South Perth Shakas,4,11,Greenmount Doom,
7,Swan View Draught,13,7,Wembley Blue Light Discos,
7,Como Mo Co,6,10,Mindarie molotovs,
7,The Swanbourne Identity,11,5,Northbridge MDM8'S,
7,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,12,6,Bayslaughter House 5,
7,Yokine Reservoir Dogs,6,13,Innaloominati,
7,Rottnest Holy Quokkamoles,8,10,Bayswater Barracudas,
7,50 Shades of Graylands,6,9,Canning Bridge Trolls,
7,Scarbara Kadabra,5,6,Palmyra Puck Patrol,
7,Salter Point Pint Sucklers,9,14,K-Town Cooks,
7,South Perth Major Blazers,1,5,Leeming Chin,
7,Dalkeith Dalqueefs,9,5,Shannon Nollamaras,
7,Scarborough Scar Bros,2,20,Morley Puck Troopers,
7,Hyde Park Hacks,8,5,Balingup Bruisers,
7,Doubleview Double Yewws,15,10,Inglewood Coldcuts,
7,Mullaloozers,9,8,Maylands Muthapuckas,
7,Morning Brentwood,9,3,Hungry Spot Heroes,
7,Booragoonbagz,14,18,Bedford Rave Lords,
7,You Used To Como On My Cell Phone,4,8,Stoneville Sloths,
7,Bayswater Croquet Club,10,0,Mount Lawless,
7,Perth City Puck Pirates,7,11,North Perth Bald Beavers,
7,Murray Street Tramps,12,6,U.S.S.R,
7,Roleystone Henges,6,12,Perth Glory Holes,
7,High Gates,7,8,Wilson Castaways,OT
7,Black Wall Reach Arounds,7,15,Bicton Banter Lords,
7,Lake Mongrels,18,14,Westeros Perth R'hllors,
7,Labia Menora Explorers,14,10,Burswood 6100s,
7,Jason Alexander Heights,11,5,Yokine Drugs n' Crime,
7,Get Bentley,8,7,GMLA Jurassic Pucks,
7,West Stirling Banjo Breakers,10,0,GMLA Guardians,
7,Manning Manchilds,11,10,Subiaco Silkworms,
7,Marmion Mighty Drunks,5,11,Swanbourne Nudists,
7,St James Addictions,8,9,Hillarys Humpbacks,
7,Bicton Four 'n Twenty,14,13,Como At Me Bro,
7,Dalkeith Urban's,8,15,Fremantle Metropolis Double Blacks,
7,Ocean Beef,6,12,Mosman Mooseknuckles,
7,Mount Hawt'n'horny,9,15,East Freo Bae Blades,
7,Kalamunda Hillbillies,7,4,South Perth Sam's Green Eggs and Ham,
7,Whitfords City Turbo Tuggers,4,10,Dog Swamp Swamp Dogs,
7,Rocko Rodents,4,13,Rocko's Modern Rollers,
7,Stirling Archers,5,12,Swanbourne Sand People,
8,Greenmount Doom,16,5,Karrakatta Grim Jobs,
8,Riverton Regretzkys,14,9,West Stirling Banjo Breakers,
8,Mindarie molotovs,5,15,Patrick Bateman,
8,Nedlands Flanders,9,14,City Beach Kooks,
8,Churchlands Hellraisers,8,9,The Swanbourne Identity,
8,Dianella Demons,10,2,Mörley Crüe,
8,North Beach Bearded Clams,8,10,Dalkeith Dalqueefs,
8,Hungry Spot Heroes,8,3,Freo Dirty Dog Beachers,
8,Palmyra Puck Patrol,3,11,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,
8,GMLA Angels,2,8,Balcatta Bandits,
8,Mount Lawless,8,14,Swan View Draught,
8,Heathcote Hangers,7,10,Como Mo Co,
8,K-Town Cooks,11,0,South Perth Shakas,
8,Bayslaughter House 5,12,11,Yokine Reservoir Dogs,
8,Mosman Mooseknuckles,25,8,Scarborough Scar Bros,
8,Rollerburger Leedervillains,10,0,Salter Point Pint Sucklers,
8,Balingup Bruisers,3,13,Scarbara Kadabra,
8,Innaloominati,11,10,Hyde Park Hacks,
8,Wembley Blue Light Discos,4,5,Kensington Kermits,OT
8,Leeming Chin,5,3,You Used To Como On My Cell Phone,
8,Hillarys Humpbacks,7,13,Wembley Food Courts,
8,Bicton Banter Lords,7,6,Morning Brentwood,
8,North Perth Bald Beavers,12,5,Rottnest Holy Quokkamoles,
8,Northbridge MDM8'S,16,8,50 Shades of Graylands,
8,Canning Bridge Trolls,10,6,Get Bentley,
8,Morley Puck Troopers,14,15,Bayswater Croquet Club,OT
8,Maylands Muthapuckas,8,3,Ocean Beef,
8,Perth Glory Holes,8,7,South Perth Major Blazers,
8,Shannon Nollamaras,9,10,High Gates,
8,Stoneville Sloths,12,8,Dalkeith Urban's,
8,Inglewood Coldcuts,4,13,Mullaloozers,
8,Bedford Rave Lords,4,12,Claremont Cereal Killahs,
8,GMLA Guardians,7,4,Mt Pleasant Mounties,
8,Yokine Drugs n' Crime,3,8,Doubleview Double Yewws,
8,Swanbourne Nudists,9,10,Manning Manchilds,
8,U.S.S.R,11,10,Booragoonbagz,
8,Bayswater Barracudas,6,4,Murray Street Tramps,
8,Como At Me Bro,15,13,Perth City Puck Pirates,
8,Westeros Perth R'hllors,5,9,Roleystone Henges,
8,Wilson Castaways,8,15,Bicton Four 'n Twenty,
8,Stirling From the Bottom Now We're Here,8,13,Lake Mongrels,
8,Burswood 6100s,,,Black Wall Reach Arounds,
8,GMLA Jurassic Pucks,10,12,Labia Menora Explorers,
8,Marmion Mighty Drunks,14,6,St James Addictions,
8,Fremantle Metropolis Double Blacks,10,0,Stirling Archers,
8,Subiaco Silkworms,16,11,Mount Hawt'n'horny,
8,Swanbourne Sand People,,,Jason Alexander Heights,
8,Dog Swamp Swamp Dogs,10,4,Rocko Rodents,
8,Rocko's Modern Rollers,5,16,Whitfords City Turbo Tuggers,
8,South Perth Sam's Green Eggs and Ham,10,0,Vic Park Vanguards,
8,East Freo Bae Blades,10,0,Kalamunda Hillbillies,
9,You Used To Como On My Cell Phone,7,8,Stirling From The Bottom Now We're Here,OT
9,Patrick Bateman,10,11,The Swanbourne Identity,
9,City Beach Kooks,6,9,Karrakatta Grim Jobs,
9,Maylands Muthapuckas,6,5,Riverton Regretzkys,
9,Greenmount Doom,17,10,West Stirling Banjo Breakers,
9,Bayslaughter House 5,10,12,Palmyra Puck Patrol,
9,Mindarie molotovs,10,16,Balcatta Bandits,
9,Nedlands Flanders,10,0,Dalkeith Dalqueefs,
9,Swan View Draught,5,1,Mörley Crüe,
9,Como Mo Co,10,0,South Perth Shakas,
9,Hungry Spot Heroes,12,8,Heathcote Hangers,
9,Churchlands Hellraisers,13,6,Mosman Mooseknuckles,
9,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,4,7,Yokine Reservoir Dogs,
9,Freo Dirty Dog Beachers,4,7,GMLA Angels,
9,Perth City Puck Pirates,8,10,50 Shades of Graylands,
9,Rottnest Holy Quokkamoles,9,8,Wilson Castaways,
9,Bayswater Croquet Club,10,9,Scarborough Scar Bros,
9,Salter Point Pint Sucklers,10,0,Mount Lawless,
9,North Perth Bald Beavers,7,8,North Beach Bearded Clams,
9,K-Town Cooks,9,8,Mullaloozers,
9,High Gates,5,8,Hyde Park Hacks,
9,Kensington Kermits,13,6,Scarbara Kadabra,
9,Wembley Blue Light Discos,9,4,Balingup Bruisers,
9,Claremont Cereal Killahs,13,14,Rollerburger Leedervillains,OT
9,Morning Brentwood,7,4,Canning Bridge Trolls,
9,Shannon Nollamaras,6,10,Innaloominati,
9,Leeming Chin,7,5,Get Bentley,
9,Morley Puck Troopers,3,1,Northbridge MDM8'S,
9,Subiaco Silkworms,6,9,Wembley Food Courts,
9,Ocean Beef,0,10,Mt Pleasant Mounties,
9,Murray Street Tramps,8,12,Dianella Demons,
9,Bedford Rave Lords,12,6,U.S.S.R,
9,Bicton Four 'n Twenty,14,8,South Perth Major Blazers,
9,Perth Glory Holes,0,10,Booragoonbagz,
9,Dalkeith Urban's,,,Swanbourne Sand People,
9,Stoneville Sloths,6,18,Swanbourne Nudists,
9,Doubleview Double Yewws,15,9,Manning Manchilds,
9,Yokine Drugs n' Crime,4,12,Inglewood Coldcuts,
9,Fremantle Metropolis Double Blacks,6,10,Roleystone Henges,
9,Jason Alexander Heights,9,10,Bayswater Barracudas,
9,Lake Mongrels,5,6,Dog Swamp Swamp Dogs,
9,Como At Me Bro,9,8,South Perth Sam's Green Eggs and Ham,
9,Black Wall Reach Arounds,12,16,Labia Menora Explorers,
9,Bicton Banter Lords,10,0,GMLA Guardians,
9,Vic Park Vanguards,0,10,GMLA Jurassic Pucks,
9,St James Addictions,14,6,Westeros Perth R'hllors,
9,Hillarys Humpbacks,10,12,Marmion Mighty Drunks,
9,Burswood 6100s,,,Whitfords City Turbo Tuggers,
9,Kalamunda Hillbillies,9,8,Stirling Archers,
9,East Freo Bae Blades,9,8,Rocko's Modern Rollers,
9,Mount Hawt'n'horny,11,9,Rocko Rodents,
10,Karrakatta Grim Jobs,8,16,Patrick Bateman,
10,The Swanbourne Identity,13,6,Maylands Muthapuckas,
10,Riverton Regretzkys,9,13,Como Mo Co,
10,Balcatta Bandits,13,7,Greenmount Doom,
10,Innaloominati,5,0,City Beach Kooks,
10,Dalkeith Dalqueefs,5,10,Swan View Draught,
10,West Stirling Banjo Breakers,10,15,Mindarie molotovs,
10,Wembley Food Courts,9,12,Churchlands Hellraisers,
10,Mörley Crüe,7,5,North Perth Bald Beavers,
10,Heathcote Hangers,6,9,Bayslaughter House 5,
