,Team,Rating,mu,sigma
0,mosman park milkmen,"trueskill.Rating(mu=25.650, sigma=8.333)",25.650328250376898,8.333333333333334
1,south perth major blazers,"trueskill.Rating(mu=19.111, sigma=2.775)",19.111038800626805,2.7754256775119326
2,gmla jurassic pucks,"trueskill.Rating(mu=19.049, sigma=3.090)",19.04892018709419,3.0904085874238136
3,creepy crawleys,"trueskill.Rating(mu=23.973, sigma=8.333)",23.972845132157488,8.333333333333334
4,mt pleasant mounties,"trueskill.Rating(mu=30.027, sigma=3.203)",30.026669512259485,3.203453062672194
5,roleystone henges,"trueskill.Rating(mu=19.906, sigma=2.940)",19.906167293368902,2.9398141856657345
6,k-town cooks,"trueskill.Rating(mu=33.902, sigma=3.150)",33.90207787807033,3.149925341231187
7,west leederville wobbegongs,"trueskill.Rating(mu=26.873, sigma=8.333)",26.872608463072449,8.333333333333334
8,whitfords city turbo tuggers,"trueskill.Rating(mu=21.012, sigma=3.121)",21.012302246771494,3.1214887108154095
9,mosman mooseknuckles,"trueskill.Rating(mu=33.901, sigma=2.961)",33.90052482149693,2.960675905274943
10,murray street tramps,"trueskill.Rating(mu=20.872, sigma=3.123)",20.871553436503056,3.123368912540874
11,inglewood coldcuts,"trueskill.Rating(mu=21.562, sigma=3.002)",21.561931157192934,3.0015636149963485
12,ocean beef,"trueskill.Rating(mu=24.634, sigma=3.134)",24.63408230987674,3.133633342459125
13,bayswater croquet club,"trueskill.Rating(mu=32.665, sigma=3.128)",32.66492874060867,3.127817454841697
14,leeming chin,"trueskill.Rating(mu=26.271, sigma=2.711)",26.270694026217956,2.7108341689376756
15,yokine reservoir dogs,"trueskill.Rating(mu=27.565, sigma=2.956)",27.564991934737485,2.9563613341520436
16,karrakatta grim jobs,"trueskill.Rating(mu=37.066, sigma=3.289)",37.06628783850231,3.2889435438054564
17,bicton four'n twenty,"trueskill.Rating(mu=20.953, sigma=8.333)",20.95250326562271,8.333333333333334
18,swan view draught,"trueskill.Rating(mu=38.998, sigma=2.900)",38.998373568715614,2.8997229995935805
19,patrick bateman,"trueskill.Rating(mu=46.430, sigma=3.027)",46.43023846220838,3.0272890057832713
20,swanbourne sand people,"trueskill.Rating(mu=20.891, sigma=2.747)",20.891079254111606,2.7466390156154166
21,dalkeith dalqueefs,"trueskill.Rating(mu=27.346, sigma=3.035)",27.34566578761684,3.035194592968721
22,chick park,"trueskill.Rating(mu=20.301, sigma=8.333)",20.301203074698488,8.333333333333334
23,south perth shakas,"trueskill.Rating(mu=22.875, sigma=3.260)",22.87507401841541,3.2602997893033043
24,canning bridge trolls,"trueskill.Rating(mu=32.919, sigma=2.905)",32.919064296193994,2.9046189688458126
25,hungry spot heroes,"trueskill.Rating(mu=30.938, sigma=2.955)",30.937822125910504,2.954562604204621
26,freo dirty dog beachers,"trueskill.Rating(mu=20.573, sigma=2.901)",20.573221441883554,2.9012451943572755
27,lake mongrels,"trueskill.Rating(mu=25.846, sigma=2.990)",25.846188023853408,2.990464148566938
28,hydepark hacks,"trueskill.Rating(mu=26.497, sigma=8.333)",26.496626685965555,8.333333333333334
29,doubleview double yewws,"trueskill.Rating(mu=25.059, sigma=3.092)",25.059260251111226,3.0924552869830277
30,mosmanonymous,"trueskill.Rating(mu=9.797, sigma=8.333)",9.7965493172083971,8.333333333333334
31,mount hawt'n'horny,"trueskill.Rating(mu=9.203, sigma=3.044)",9.203039598709937,3.0437517437029515
32,stirling archers,"trueskill.Rating(mu=17.269, sigma=3.031)",17.269231016274908,3.03116139957463
33,palmyra puck patrol,"trueskill.Rating(mu=29.773, sigma=3.012)",29.773158665267523,3.0118064980170502
34,northbridge mdm8's,"trueskill.Rating(mu=31.314, sigma=2.984)",31.313667796917336,2.9843843254483624
35,hillarys humpbacks,"trueskill.Rating(mu=14.478, sigma=3.316)",14.478365447337394,3.315641252321232
36,karrinyup bandits,"trueskill.Rating(mu=29.301, sigma=8.333)",29.300567206295892,8.333333333333334
37,shannon nollamaras,"trueskill.Rating(mu=17.886, sigma=2.681)",17.886444208816297,2.6814706242229502
38,west coast spastic eagles,"trueskill.Rating(mu=17.718, sigma=8.333)",17.717821436458639,8.333333333333334
39,booragoonbags,"trueskill.Rating(mu=18.411, sigma=8.333)",18.41090266244797,8.333333333333334
40,wilson castaways,"trueskill.Rating(mu=24.147, sigma=2.605)",24.14732580518015,2.6053915615717833
41,kalamunda hillbillies,"trueskill.Rating(mu=18.753, sigma=3.085)",18.752834404307762,3.084664341535892
42,booragoonbagz,"trueskill.Rating(mu=15.318, sigma=3.068)",15.317940618736323,3.068267205766015
43,mullaloozers,"trueskill.Rating(mu=33.381, sigma=3.129)",33.3813752152806,3.1285045799791638
44,dog swamp swamp dogs,"trueskill.Rating(mu=29.404, sigma=3.188)",29.40368432303534,3.1879174895182327
45,como at me bro,"trueskill.Rating(mu=22.294, sigma=2.749)",22.293891954723396,2.7486798508495442
46,morning brentwood,"trueskill.Rating(mu=36.272, sigma=3.163)",36.27151044617966,3.162815181863903
47,gravel road grindrs,"trueskill.Rating(mu=18.198, sigma=8.333)",18.198372139359414,8.333333333333334
48,bicton bath salts,"trueskill.Rating(mu=18.808, sigma=8.333)",18.808470967108512,8.333333333333334
49,city beach kooks,"trueskill.Rating(mu=24.569, sigma=3.151)",24.568744691743923,3.150876600971737
