,Team,Rating,mu,sigma
52,leederphiles rolferhockey,"trueskill.Rating(mu=23.550, sigma=3.011)",23.54958701864818,3.011068076188575
53,whorebin grovers,"trueskill.Rating(mu=18.018, sigma=2.907)",18.017539986145824,2.907421848892467
54,rosemount rinsers,"trueskill.Rating(mu=30.518, sigma=3.053)",30.517714766383005,3.053168481117513
55,claremont cereal killahs,"trueskill.Rating(mu=26.185, sigma=3.032)",26.18548565067736,3.031943211849857
56,hillarys humpbacks,"trueskill.Rating(mu=27.376, sigma=3.037)",27.37574059546377,3.036919629035607
57,karrinyup bandits,"trueskill.Rating(mu=29.301, sigma=8.333)",29.300567206295892,8.333333333333334
58,scarbra streisands,"trueskill.Rating(mu=28.807, sigma=8.333)",28.807246086019248,8.333333333333334
59,salter point shooters,"trueskill.Rating(mu=23.893, sigma=2.824)",23.893360621837108,2.8236959252222356
60,doubleview double yewws,"trueskill.Rating(mu=26.625, sigma=2.977)",26.625352852380022,2.9774177455078545
61,booragoonbags,"trueskill.Rating(mu=18.411, sigma=8.333)",18.410902662447967,8.333333333333334
62,balcatta bandits,"trueskill.Rating(mu=49.509, sigma=3.997)",49.50885342328098,3.9965892843488957
63,bicton banter lords,"trueskill.Rating(mu=36.987, sigma=2.963)",36.98686724065492,2.962965907360658
64,booragoonbagz,"trueskill.Rating(mu=15.824, sigma=2.761)",15.824325118961408,2.7612867995352874
65,north perth bald beavers,"trueskill.Rating(mu=22.491, sigma=2.849)",22.491321301232478,2.848513806816667
66,highgate hommus-sexuals,"trueskill.Rating(mu=30.703, sigma=3.029)",30.70258773481925,3.0294751020190644
67,mosman mooseknuckles,"trueskill.Rating(mu=35.583, sigma=2.839)",35.58268932508224,2.838976386706532
68,cottesloe clam hunters,"trueskill.Rating(mu=32.010, sigma=8.333)",32.009850254874038,8.333333333333334
69,dog swamp swamp dogs,"trueskill.Rating(mu=22.682, sigma=2.903)",22.681700816863113,2.9028515160419697
70,como at me bro,"trueskill.Rating(mu=15.950, sigma=3.262)",15.95006286420833,3.2621088633147197
71,morning brentwood,"trueskill.Rating(mu=35.997, sigma=3.139)",35.99665203919501,3.1389900064477936
72,gravel road grindrs,"trueskill.Rating(mu=18.198, sigma=8.333)",18.198372139359414,8.333333333333334
73,nedlands yung puccbois,"trueskill.Rating(mu=23.282, sigma=8.333)",23.281559151726228,8.333333333333334
74,mindarie molotovs,"trueskill.Rating(mu=40.456, sigma=3.071)",40.45612050220891,3.0709211010136537
75,50 shades of graylands,"trueskill.Rating(mu=23.540, sigma=2.779)",23.539910687054945,2.779225999654236
76,bicton bath salts,"trueskill.Rating(mu=18.808, sigma=3.102)",18.80847096710851,3.1019885862183205
77,city beach kooks,"trueskill.Rating(mu=17.531, sigma=3.029)",17.531478834625993,3.0291352033876877
78,freo fussy puckers,"trueskill.Rating(mu=24.970, sigma=8.333)",24.970345416699857,8.333333333333334
79,attafail whales,"trueskill.Rating(mu=10.840, sigma=8.333)",10.840135648764713,8.333333333333334
80,mount lawless,"trueskill.Rating(mu=37.967, sigma=3.048)",37.96663314481077,3.048084282740056
81,wilson castaways,"trueskill.Rating(mu=18.217, sigma=2.834)",18.216689901850234,2.8343569017465193
82,willo wonkas,"trueskill.Rating(mu=27.744, sigma=8.333)",27.744266173645038,8.333333333333334
83,morley puck troopers,"trueskill.Rating(mu=35.644, sigma=3.097)",35.643912694787964,3.097105421738285
84,gmla guardians,"trueskill.Rating(mu=37.378, sigma=3.149)",37.377639247421975,3.149476263601575
85,west stirling banjo breakers,"trueskill.Rating(mu=36.594, sigma=3.051)",36.59401433491065,3.0514670741855303
86,wembley food courts,"trueskill.Rating(mu=26.806, sigma=2.953)",26.805617346916947,2.95301059995534
87,parkwood benders,"trueskill.Rating(mu=25.659, sigma=8.333)",25.658692796671453,8.333333333333334
88,melville massiv,"trueskill.Rating(mu=36.184, sigma=3.112)",36.183620574979244,3.111629779515291
89,perth glory holez,"trueskill.Rating(mu=18.450, sigma=2.986)",18.449997186904806,2.9856981017047834
90,black wall reach arounds,"trueskill.Rating(mu=30.686, sigma=3.074)",30.686410144934445,3.0739063261859503
91,whitfords city wristies,"trueskill.Rating(mu=22.730, sigma=2.930)",22.730338931261805,2.929793462247733
92,city beach groins,"trueskill.Rating(mu=25.922, sigma=8.333)",25.922379745481237,8.333333333333334
93,fremantle cappuccino strippers,"trueskill.Rating(mu=21.304, sigma=8.333)",21.303602641134074,8.333333333333334
94,subiaco silkworms,"trueskill.Rating(mu=24.051, sigma=2.772)",24.05098870567543,2.772280620567145
95,innaloominati,"trueskill.Rating(mu=24.088, sigma=2.693)",24.08757840837971,2.693389621201529
96,east freo bae blades,"trueskill.Rating(mu=12.474, sigma=2.876)",12.473819054653276,2.8756202658318575
97,how much wood would a parkwood park if a parkwood could park wood,"trueskill.Rating(mu=26.666, sigma=2.951)",26.666284231275345,2.9512738884457184
98,perth city puck pirates,"trueskill.Rating(mu=22.023, sigma=2.948)",22.02270246518954,2.9482771063975495
99,como mo co,"trueskill.Rating(mu=40.070, sigma=2.872)",40.07048360954367,2.8716122097461523
100,churchlands hellraisers,"trueskill.Rating(mu=38.147, sigma=3.224)",38.146732744983105,3.2241825107067643
101,stirling from the bottom now we're here,"trueskill.Rating(mu=7.678, sigma=2.966)",7.678066441857615,2.9656803185494147
