ROUND,HOME,SCORE,SCORE,AWAY,OT
1,Applecross Dressers,2,31,Chick Park,
1,Cottesloe's Hottest Hoes,10,11,Fremantle Cappuccino Strippers,
1,Dalkeith Dalqueefs,1,10,Nedlands Yung Puccbois,
1,Attafail Whales,6,11,Perth On Heat,
1,Bicton Bath Salts,9,8,South Perth Puckaneers,OT
1,Booragoonbags,6,13,Whorebin Grovers,
1,Innaloominati,7,12,Lake Mongrels,
1,City Beach Groins,10,2,Swanbourne Nudists,
1,Mosman Mooseknuckles,8,4,Maylands Muthapuckas,
1,Mount Lawless,14,9,Inglewood Coldcuts,
1,Wembley Blue Light Discos,8,22,West Coast Spastic Eagles,
1,Mt Lawley Chai Lattes,4,10,Rosemount Rinsers,
1,Bull Creek Buttchuggers,15,10,Como At Me Bro,
1,City Beach Kooks,15,11,50 Shades of Graylands,
1,Cotteslowbros,10,4,Creepy Crawleys,
1,Mullaloozers,3,10,Ocean Beef,
1,Karrakatta Grim Jobs,10,14,Wembley Food Courts,
1,Subiaco SIlkworms,8,14,Doubleview Double Yewws,
1,Shenton Park Speed Dealers,13,9,Freo Fussy Puckers,
1,GMLA Angels,4,5,Hungry Spot Heroes,OT
1,GMLA Jurassic Pucks,4,10,Claremont Cereal Killahs,
1,Perth Glory Holez,3,14,Mt Pleasant Mounties,
1,Churchlands Hellraisers,10,9,Wembley Food Caughts,OT
1,Balcatta Bandits,3,8,Greenmount Doom,
1,Daglish Dhe Moisties,15,8,Leederphiles Rolferhockey,
1,Melville Massiv,2,6,Willo Wonkas,
1,Dog Swamp Swamp Dogs,11,6,North Perth Bald Beavers,
1,Whitfords City Wristies,8,9,Scarbra Streisands,OT
1,Mindarie Molotovs,9,11,GMLA Guardians,
1,Bicton Banter Lords,7,14,Como Mo Co,
1,Kensington Kermits,3,16,Dianella Demons,
1,Hillarys Humpbacks,8,7,West Stirling Banjo Breakers,
2,Applecross Dressers,10,18,Fremantle Cappuccino Strippers,
2,Chick Park,6,14,Perth On Heat,
2,Cottesloe's Hottest Hoes,4,12,Nedlands Yung Puccbois,
2,Attafail Whales,3,9,Dalkeith Dalqueefs,
2,Booragoonbags,3,9,Swanbourne Nudists,
2,GMLA Jurassic Pucks,16,4,Whorebin Grovers,
2,Innaloominati,6,8,North Perth Bald Beavers,
2,Lake Mongrels,16,9,West Coast Spastic Eagles,
2,Balcatta Bandits,33,4,Churchlands Hellraisers,
2,Como Mo Co,13,12,Willo Wonkas,
2,GMLA Guardians,12,7,Bicton Banter Lords,
2,Melville Massiv,7,5,Karrakatta Grim Jobs,
2,Wembley Food Caughts,7,5,Cotteslowbros,
2,Wembley Food Courts,16,15,Daglish Dhe Moisties,
2,Whitfords City Wristies,11,4,Leederphiles Rolferhockey,
2,Greenmount Doom,9,7,Dog Swamp Swamp Dogs,
2,Mindarie Molotovs,16,5,Scarbra Streisands,
2,West Stirling Banjo Breakers,8,9,Doubleview Double Yewws,
2,Freo Fussy Puckers,16,9,Creepy Crawleys,
2,Bicton Bath Salts,11,9,50 Shades of Graylands,
2,Claremont Cereal Killahs,16,2,Inglewood Coldcuts,
2,Maylands Muthapuckas,9,10,Hungry Spot Heroes,OT
2,Hillarys Humpbacks,11,5,Mullaloozers,
2,Ocean Beef,21,4,Subiaco Silkworms,
2,South Perth Puckaneers,7,8,Kensington Kermits,
2,Mt Pleasant Mounties,10,7,Shenton Park Speed Dealers,
2,City Beach Kooks,15,16,Mosman Mooseknuckles,
2,Wembley Blue Light Discos,7,6,Mt Lawley Chai Lattes,OT
2,City Beach Groins,5,10,Bull Creek Buttchuggers,
2,Rosemount Rinsers,7,19,Mount Lawless,
2,Como At Me bro,6,18,Perth Glory Holez,
2,Dianella Demons,16,7,GMLA Angels,
3,Dalkeith Dalqueefs,3,9,Applecross Dressers,
3,Nedlands Yung Puccbois,14,15,Chick Park,
3,Cottesloe's Hottest Hoes,8,4,Attafail Whales,
3,Fremantle Cappuccino Strippers,9,11,Perth On Heat,
3,GMLA Jurassic Pucks,9,10,West Coast Spastic Eagles,
3,Swanbourne Nudists,4,9,Lake Mongrels,
3,City Beach Groins,6,7,Innaloominati,
3,Booragoonbags,3,18,Wembley Blue Light Discos,
3,North Perth Bald Beavers,8,5,Whorebin Grovers,
3,Cotteslowbros,6,3,Whitfords City Wristies,
