ROUND,HOME,SCORE,SCORE,AWAY,OT
3,Willo Wonkas,6,12,Bicton Banter Lords,
3,Melville Massiv,10,8,Wembley Food Caughts,
3,Como Mo Co,20,5,Wembley Food Courts,
3,Leederphiles Rolferhockey,10,7,Dog Swamp Swamp Dogs,
3,Dianella Demons,15,8,Churchlands Hellraisers,
3,GMLA Guardians,15,10,Daglish Dhe Moisties,
3,Balcatta Bandits,10,9,Mindarie Molotovs,OT
3,Scarbra Streisands,7,6,Greenmount Doom,OT
3,Karrakatta Grim Jobs,15,5,Shenton Park Speed Dealers,
3,Inglewood Coldcuts,7,10,Hungry Spot Heroes,
3,Perth Glory Holez,5,13,Freo Fussy Puckers,
3,Ocean Beef,9,10,Hillarys Humpbacks,
3,Subiaco SIlkworms,7,10,50 Shades of Graylands,
3,GMLA Angels,8,7,Maylands Muthapuckas,
3,Bicton Bath Salts,11,10,Kensington Kermits,
3,Mt Pleasant Mounties,6,7,Mount Lawless,
3,Mullaloozers,5,11,City Beach Kooks,
3,Creepy Crawleys,6,12,Mosman Mooseknuckles,
3,South Perth Puckaneers,2,6,Claremont Cereal Killahs,
3,Doubleview Double Yewws,8,7,Bull Creek Buttchuggers,OT
3,West Stirling Banjo Breakers,12,10,Rosemount Rinsers,
3,Mt Lawley Chai Lattes,8,9,Como At Me Bro,
4,Booragoonbags,9,8,Attafail Whales,OT
4,Chick Park,7,13,Wembley Blue Light Discos,
4,Fremantle Cappuccino Strippers,1,18,GMLA Jurassic Pucks,
4,Swanbourne Nudists,10,2,Dalkeith Dalqueefs,
4,West Coast Spastic Eagles,19,4,Nedlands Yung Puccbois,
4,Whorebin Grovers,15,10,Applecross Dressers,
4,City Beach Groins,14,1,Cottesloe's Hottest Hoes,
4,Perth On Heat,1,8,Innaloominati,
4,Lake Mongrels,4,7,North Perth Bald Beavers,
4,Churchlands Hellraisers,13,12,Wembley Food Courts,
4,Leederphiles Rolferhockey,12,7,Wembley Food Caughts,
4,Bicton Banter Lords,12,6,Melville Massiv,
4,Whitfords City Wristies,5,9,Mindarie Molotovs,
4,Dianella Demons,8,16,Balcatta Bandits,
4,Daglish Dhe Moisties,8,12,Cotteslowbros,
4,GMLA Guardians,5,10,Como Mo Co,
4,Greenmount Doom,7,6,Willo Wonkas,
4,Dog Swamp Swamp Dogs,10,17,Scarbra Streisands,
4,Mount Lawless,10,14,Karrakatta Grim Jobs,
4,Mosman Mooseknuckles,13,3,Bicton Bath Salts,
4,Maylands Muthapuckas,10,8,Rosemount Rinsers,
4,Freo Fussy Puckers,11,10,Bull Creek Buttchuggers,OT
4,Inglewood Coldcuts,28,5,Mt Lawley Chai Lattes,
4,Claremont Cereal Killahs,6,2,Kensington Kermits,
4,Hungry Spot Heroes,10,5,Creepy Crawleys,
4,Como At Me Bro,7,21,South Perth Puckaneers,
4,West Stirling Banjo Breakers,7,10,Ocean Beef,
4,Mt Pleasant Mounties,13,9,Mullaloozers,
4,City Beach Kooks,10,7,Doubleview Double Yewws,
4,Shenton Park Speed Dealers,16,8,Subiaco Silkworms,
4,Perth Glory Holez,13,14,GMLA Angels,
4,50 Shades of Graylands,8,14,Hillarys Humpbacks,
5,Applecross Dressers,6,8,Cottesloe's Hottest Hoes,
5,Attafail Whales,3,10,Chick Park,
5,Nedlands Yung Puccbois,10,5,Fremantle Cappuccino Strippers,
5,Perth On Heat,8,1,Dalkeith Dalqueefs,
5,Mt Lawley Chai Lattes,14,11,Booragoonbags,
5,Lake Mongrels,9,11,City Beach Groins,
5,Wembley Blue Light Discos,3,8,GMLA Jurassic Pucks,
5,West Coast Spastic Eagles,7,13,Innaloominati,
5,Whorebin Grovers,4,10,Swanbourne Nudists,
5,Rosemount Rinsers,9,14,North Perth Bald Beavers,
5,Greenmount Doom,12,6,Whitfords City Wristies,
5,Bicton Banter Lords,11,5,Balcatta Bandits,
5,Wembley Food Caughts,8,10,Mosman Mooseknuckles,
5,Wembley Food Courts,7,6,Cotteslowbros,
5,Dog Swamp Swamp Dogs,10,17,GMLA Guardians,
5,Churchlands Hellraisers,7,12,Daglish Dhe Moisties,
5,Como Mo Co,10,9,Leederphiles Rolferhockey,
5,Mount Lawless,12,9,Dianella Demons,
5,Scarbra Streisands,17,16,City Beach Kooks,
5,Willo Wonkas,6,13,Mindarie Molotovs,
5,Melville Massiv,13,6,Mt Pleasant Mounties,
5,Mullaloozers,7,5,Claremont Cereal Killahs,
5,Como At Me Bro,9,20,Freo Fussy Puckers,
5,Bull Creek Buttchuggers,6,11,Bicton Bath Salts,
5,50 Shades of Graylands,11,10,Creepy Crawleys,
5,Doubleview Double Yewws,5,7,Hillarys Humpbacks,
5,Karrakatta Grim Jobs,12,6,Hungry Spot Heroes,
5,GMLA Angels,17,3,Inglewood Coldcuts,
5,Kensington Kermits,8,7,Maylands Muthapuckas,
5,Shenton Park Speed Dealers,14,19,West Stirling Banjo Breakers,
5,Subiaco SIlkworms,10,9,Perth Glory Holez,OT
5,South Perth Puckaneers,7,12,Ocean Beef,
6,Chick Park,8,4,Cottesloe's Hottest Hoes,
6,Fremantle Cappuccino Strippers,18,5,Dalkeith Dalqueefs,
6,Perth On Heat,9,8,Applecross Dressers,OT
6,Attafail Whales,8,18,Nedlands Yung Puccbois,
6,50 Shades of Graylands,15,3,City Beach Groins,
6,Booragoonbags,9,17,Como At Me Bro,
6,Swanbourne Nudists,8,11,Wembley Blue Light Discos,
6,Whorebin Grovers,8,14,Bull Creek Buttchuggers,
6,GMLA Jurassic Pucks,7,12,Innaloominati,
6,Creepy Crawleys,8,17,Lake Mongrels,
6,North Perth Bald Beavers,14,5,Mt Lawley Chai Lattes,
6,Hillarys Humpbacks,8,11,Wembley Food Caughts,
6,West Stirling Banjo Breakers,6,12,Wembley Food Courts,
6,Cotteslowbros,3,13,Balcatta Bandits,
6,Dianella Demons,11,9,Daglish Dhe Moisties,
6,City Beach Kooks,4,16,Dog Swamp Swamp Dogs,
6,Leederphiles Rolferhockey,9,11,Churchlands Hellraisers,
6,Bicton Banter Lords,12,7,Mount Lawless,
6,Greenmount Doom,9,10,Como Mo Co,
6,Willo Wonkas,8,18,GMLA Guardians,
6,Ocean Beef,12,5,Whitfords City Wristies,
6,Scarbra Streisands,5,9,Melville Massiv,
6,Mindarie Molotovs,5,4,Mosman Mooseknuckles,OT
6,Freo Fussy Puckers,8,12,Bicton Bath Salts,
6,Doubleview Double Yewws,4,8,Hungry Spot Heroes,
6,Claremont Cereal Killahs,1,11,Karrakatta Grim Jobs,
6,Kensington Kermits,21,7,Inglewood Coldcuts,
6,West Coast Spastic Eagles,12,11,Subiaco Silkworms,
6,Shenton Park Speed Dealers,8,11,Mullaloozers,
6,GMLA Angels,6,13,Mt Pleasant Mounties,
6,Rosemount Rinsers,12,13,South Perth Puckaneers,
6,Maylands Muthapuckas,11,6,Perth Glory Holez,
7,Dalkeith Dalqueefs,5,12,Chick Park,
7,Attafail Whales,7,19,Fremantle Cappuccino Strippers,
7,Nedlands Yung Puccbois,12,10,Applecross Dressers,
7,Cottesloe's Hottest Hoes,4,8,Perth On Heat,
7,Booragoonbags,14,19,City Beach Groins,
7,GMLA Jurassic Pucks,5,6,Lake Mongrels,
7,Whorebin Grovers,1,14,Innaloominati,
7,North Perth Bald Beavers,14,4,Wembley Blue Light Discos,
7,Swanbourne Nudists,0,10,Como At Me Bro,
7,Mount Lawless,8,3,Balcatta Bandits,
7,City Beach Kooks,3,25,Melville Massiv,
7,Cotteslowbros,3,15,Como Mo Co,
7,Daglish Dhe Moisties,14,9,Dog Swamp Swamp Dogs,
7,Willo Wonkas,6,7,Dianella Demons,
7,Mindarie Molotovs,5,9,Bicton Banter Lords,
7,Leederphiles Rolferhockey,8,13,Scarbra Streisands,
7,Churchlands Hellraisers,7,19,Greenmount Doom,
7,Wembley Food Courts,8,4,Wembley Food Caughts,
7,GMLA Guardians,18,19,GMLA Angels,OT
7,Whitfords City Wristies,7,10,Mullaloozers,
7,Doubleview Double Yewws,8,6,Freo Fussy Puckers,
7,Creepy Crawleys,7,18,West Stirling Banjo Breakers,
7,Subiaco SIlkworms,8,18,Rosemount Rinsers,
7,Perth Glory Holez,12,13,South Perth Puckaneers,OT
7,Mosman Mooseknuckles,19,4,West Coast Spastic Eagles,
7,Maylands Muthapuckas,14,2,Mt Lawley Chai Lattes,
7,Ocean Beef,19,1,Shenton Park Speed Dealers,
7,Mt Pleasant Mounties,16,6,Bicton Bath Salts,
7,Bull Creek Buttchuggers,4,8,Inglewood Coldcuts,
7,Hungry Spot Heroes,3,9,Hillarys Humpbacks,
7,Claremont Cereal Killahs,14,6,50 Shades of Graylands,
7,Karrakatta Grim Jobs,11,7,Kensington Kermits,
8,Applecross Dressers,11,17,Booragoonbags,
8,Wembley Blue Light Discos,11,11,Lake Mongrels,
8,North Perth Bald Beavers,11,5,GMLA Jurassic Pucks,
8,Hungry Spot Heroes,11,12,Rosemount Rinsers,
8,City Beach Groins,16,6,Mt Lawley Chai Lattes,
8,Chick Park,7,12,Fremantle Cappuccino Strippers,
8,Subiaco SIlkworms,13,12,Creepy Crawleys,OT
8,Inglewood Coldcuts,4,12,Maylands Muthapuckas,
8,Wembley Food Courts,3,11,Mount Lawless,
8,Nedlands Yung Puccbois,3,3,Perth On Heat,
8,Dalkeith Dalqueefs,,,Cottesloe's Hottest Hoes,
8,Wembley Food Caughts,10,13,Karrakatta Grim Jobs,
8,Dog Swamp Swamp Dogs,11,9,Churchlands Hellraisers,
8,Innaloominati,18,3,Attafail Whales,
8,50 Shades of Graylands,13,9,Swanbourne Nudists,
8,Whorebin Grovers,6,22,Como At Me Bro,
8,Balcatta Bandits,17,5,Ocean Beef,
8,Bicton Bath Salts,5,11,Bicton Banter Lords,
8,Claremont Cereal Killahs,12,3,City Beach Kooks,
8,Como Mo Co,13,3,Mt Pleasant Mounties,
8,Scarbra Streisands,10,9,Cotteslowbros,OT
8,Daglish Dhe Moisties,7,12,Mosman Mooseknuckles,
8,Mullaloozers,9,8,Dianella Demons,OT
8,GMLA Guardians,22,8,West Stirling Banjo Breakers,
8,Kensington Kermits,3,23,Greenmount Doom,
8,Leederphiles Rolferhockey,3,5,Mindarie Molotovs,
8,Melville Massiv,10,0,Freo Fussy Puckers,
8,Bull Creek Buttchuggers,11,19,Willo Wonkas,
8,Whitfords City Wristies,7,8,Doubleview Double Yewws,
8,South Perth Puckaneers,,,GMLA Angels,
8,Hillarys Humpbacks,11,3,Perth Glory Holez,
8,West Coast Spastic Eagles,11,15,Shenton Park Speed Dealers,
9,Fremantle Cappuccino Strippers,7,20,Booragoonbags,
9,Cottesloe's Hottest Hoes,3,15,GMLA Jurassic Pucks,
9,Chick Park,5,11,Innaloominati,
9,Nedlands Yung Puccbois,4,7,City Beach Groins,
9,Dalkeith Dalqueefs,4,10,Whorebin Grovers,
9,Applecross Dressers,3,12,Swanbourne Nudists,
9,Wembley Blue Light Discos,8,2,Perth On Heat,
9,Attafail Whales,3,11,Como At Me Bro,
9,Lake Mongrels,11,8,City Beach Kooks,
9,Creepy Crawleys,11,12,Perth Glory Holez,OT
9,North Perth Bald Beavers,8,12,Mosman Mooseknuckles,
9,Daglish Dhe Moisties,11,7,Karrakatta Grim Jobs,
9,Wembley Food Caughts,7,6,Mt Pleasant Mounties,
9,Maylands Muthapuckas,4,8,Ocean Beef,
9,Wembley Food Courts,11,6,Mullaloozers,
9,Hillarys Humpbacks,4,19,Balcatta Bandits,
9,Churchlands Hellraisers,10,2,Claremont Cereal Killahs,
9,Hungry Spot Heroes,8,10,Dog Swamp Swamp Dogs,
9,Bicton Bath Salts,4,9,Willo Wonkas,
9,Freo Fussy Puckers,0,10,Cotteslowbros,
9,West Coast Spastic Eagles,13,25,Whitfords City Wristies,
9,Bull Creek Buttchuggers,3,10,Kensington Kermits,
9,50 Shades of Graylands,14,12,Shenton Park Speed Dealers,
9,Greenmount Doom,19,4,Dianella Demons,
9,Leederphiles Rolferhockey,,,GMLA Guardians,
9,Doubleview Double Yewws,2,19,Melville Massiv,
9,Mount Lawless,4,14,Mindarie Molotovs,
9,Como Mo Co,20,4,South Perth Puckaneers,
9,Rosemount Rinsers,7,15,Bicton Banter Lords,
9,Scarbra Streisands,14,4,Subiaco Silkworms,
9,Inglewood Coldcuts,15,10,West Stirling Banjo Breakers,
9,Mt Lawley Chai Lattes,7,13,GMLA Angels,
10,Ocean Beef,6,10,Mosman Mooseknuckles,
10,Melville Massiv,16,4,Bicton Bath Salts,
10,Fremantle Cappuccino Strippers,9,15,Whorebin Grovers,
10,West Coast Spastic Eagles,12,6,Attafail Whales,
10,Applecross Dressers,6,5,Dalkeith Dalqueefs,OT
10,Swanbourne Nudists,8,5,Cottesloe's Hottest Hoes,
10,Nedlands Yung Puccbois,9,8,Booragoonbags,
10,Chick Park,5,11,GMLA Jurassic Pucks,
10,Perth On Heat,10,10,City Beach Groins,
10,Whitfords City Wristies,5,9,Hillarys Humpbacks,
10,Wembley Food Caughts,7,5,Wembley Blue Light Discos,
10,North Perth Bald Beavers,10,5,Claremont Cereal Killahs,
10,Hungry Spot Heroes,9,5,Wembley Food Courts,
10,Innaloominati,6,15,Rosemount Rinsers,
10,Como At Me Bro,4,11,Willo Wonkas,
10,GMLA Angels,11,6,Mount Lawless,
10,Dianella Demons,0,10,Maylands Muthapuckas,
10,Lake Mongrels,9,6,Doubleview Double Yewws,
10,Balcatta Bandits,14,8,Como Mo Co,
10,Bicton Banter Lords,29,28,Scarbra Streisands,
10,Cotteslowbros,5,8,Churchlands Hellraisers,
10,City Beach Kooks,3,16,Daglish Dhe Moisties,
10,Karrakatta Grim Jobs,7,16,GMLA Guardians,
10,Greenmount Doom,6,11,Leederphiles Rolferhockey,
10,Dog Swamp Swamp Dogs,6,13,Mindarie Molotovs,
10,Subiaco SIlkworms,17,7,Bull Creek Buttchuggers,
10,Mullaloozers,10,0,Creepy Crawleys,
10,West Stirling Banjo Breakers,17,7,50 Shades of Graylands,
10,Freo Fussy Puckers,0,10,South Perth Puckaneers,
10,Inglewood Coldcuts,10,0,Perth Glory Holez,
10,Kensington Kermits,4,14,Mt Pleasant Mounties,
10,Shenton Park Speed Dealers,19,9,Mt Lawley Chai Lattes,
11,Chick Park,8,10,Booragoonbags,
11,Ocean Beef,11,6,Inglewood Coldcuts,
11,GMLA Guardians,13,10,Scarbra Streisands,
11,Hungry Spot Heroes,9,12,North Perth Bald Beavers,
11,Rosemount Rinsers,3,8,Kensington Kermits,
11,Wembley Food Caughts,12,7,City Beach Groins,
11,Mosman Mooseknuckles,5,10,Bicton Banter Lords,
11,Hillarys Humpbacks,4,10,Churchlands Hellraisers,
11,Balcatta Bandits,10,5,Claremont Cereal Killahs,
11,Bicton Bath Salts,3,23,Como Mo Co,
11,Dog Swamp Swamp Dogs,15,6,Cotteslowbros,
11,Bull Creek Buttchuggers,14,8,Attafail Whales,
11,Innaloominati,,,Daglish Dhe Moisties,
11,South Perth Puckaneers,6,16,Dianella Demons,
11,Mindarie Molotovs,10,9,Greenmount Doom,
11,Dalkeith Dalqueefs,5,10,Fremantle Cappuccino Strippers,
11,Perth Glory Holez,8,11,50 Shades of Graylands,
11,Mt Pleasant Mounties,10,6,Leederphiles Rolferhockey,
11,Freo Fussy Puckers,0,10,Karrakatta Grim Jobs,
11,GMLA Angels,5,15,Melville Massiv,
11,Swanbourne Nudists,6,12,West Coast Spastic Eagles,
11,Perth On Heat,8,9,Whorebin Grovers,
11,West Stirling Banjo Breakers,14,8,Wembley Blue Light Discos,
11,Como At Me Bro,23,19,Creepy Crawleys,
11,Willo Wonkas,11,4,Maylands Muthapuckas,
11,Mullaloozers,14,2,Subiaco Silkworms,
11,Cottesloe's Hottest Hoes,10,9,Applecross Dressers,
11,Mount Lawless,11,9,Lake Mongrels,
11,Nedlands Yung Puccbois,4,11,Mt Lawley Chai Lattes,
11,City Beach Kooks,8,6,GMLA Jurassic Pucks,
11,Shenton Park Speed Dealers,8,18,Whitfords City Wristies,
11,Doubleview Double Yewws,15,14,Wembley Food Courts,
12,Fremantle Cappuccino Strippers,15,7,Applecross Dressers,
12,Kensington Kermits,18,2,Chick Park,
12,Cottesloe's Hottest Hoes,,,Dalkeith Dalqueefs,
12,Nedlands Yung Puccbois,3,3,Perth On Heat,
12,Churchlands Hellraisers,8,6,Doubleview Double Yewws,
12,Wembley Food Courts,10,13,Balcatta Bandits,
12,Mt Pleasant Mounties,11,9,Rosemount Rinsers,
12,Como Mo Co,22,5,Como At Me Bro,
12,Bicton Banter Lords,11,9,Greenmount Doom,
12,Inglewood Coldcuts,11,6,Bicton Bath Salts,
12,GMLA Jurassic Pucks,10,14,Ocean Beef,
12,City Beach Groins,7,4,City Beach Kooks,
12,Claremont Cereal Killahs,9,7,Innaloominati,
12,Mosman Mooseknuckles,8,21,GMLA Guardians,
12,Karrakatta Grim Jobs,3,10,Maylands Muthapuckas,
12,Mullaloozers,5,15,Melville Massiv,
12,Creepy Crawleys,7,8,Bull Creek Buttchuggers,
12,50 Shades of Graylands,10,0,Freo Fussy Puckers,
12,South Perth Puckaneers,8,11,Willo Wonkas,
12,West Stirling Banjo Breakers,9,10,Whitfords City Wristies,OT
12,Scarbra Streisands,6,5,Wembley Food Caughts,OT
12,Cotteslowbros,6,5,Hillarys Humpbacks,OT
12,Daglish Dhe Moisties,15,16,Lake Mongrels,OT
12,Dianella Demons,12,13,Dog Swamp Swamp Dogs,OT
12,Mount Lawless,11,8,Leederphiles Rolferhockey,
12,Mindarie Molotovs,18,6,Hungry Spot Heroes,
12,Booragoonbags,9,13,North Perth Bald Beavers,
12,Attafail Whales,6,12,Swanbourne Nudists,
12,Wembley Blue Light Discos,4,6,GMLA Angels,
12,Whorebin Grovers,3,12,West Coast Spastic Eagles,
12,Mt Lawley Chai Lattes,4,5,Subiaco Silkworms,
12,Perth Glory Holez,10,0,Shenton Park Speed Dealers,
,,,,,
