0,50 shades of graylands
1,applecross dressers
2,attafail whales
3,balcatta bandits
4,bicton banter lords
5,bicton bath salts
6,booragoonbags
7,bull creek buttchuggers
8,chick park
9,churchlands hellraisers
10,city beach groins
11,city beach kooks
12,claremont cereal killahs
13,como at me bro
14,como mo co
15,cottesloe's hottest hoes
16,cotteslowbros
17,creepy crawleys
18,daglish dhe moisties
19,dalkeith dalqueefs
20,dianella demons
21,dog swamp swamp dogs
22,doubleview double yewws
23,fremantle cappuccino strippers
24,freo fussy puckers
25,gmla angels
26,gmla guardians
27,gmla jurassic pucks
28,greenmount doom
29,hillarys humpbacks
30,hungry spot heroes
31,inglewood coldcuts
32,innaloominati
33,karrakatta grim jobs
34,kensington kermits
35,lake mongrels
36,leederphiles rolferhockey
37,maylands muthapuckas
38,melville massiv
39,mindarie molotovs
40,mosman mooseknuckles
41,mount lawless
42,mt lawley chai lattes
43,mt pleasant mounties
44,mullaloozers
45,nedlands yung puccbois
46,north perth bald beavers
47,ocean beef
48,perth glory holez
49,perth on heat
50,rosemount rinsers
51,scarbra streisands
52,shenton park speed dealers
53,south perth puckaneers
54,subiaco silkworms
55,swanbourne nudists
56,wembley blue light discos
57,wembley food caughts
58,wembley food courts
59,west coast spastic eagles
60,west stirling banjo breakers
61,whitfords city wristies
62,whorebin grovers
63,willo wonkas
