ROUND,HOME,SCORE,SCORE,AWAY,OT
3,Rosemount Rinsers,9,13,Ocean Beef,
3,Dianella Demons,14,10,Dog Swamp Swamp Dogs,
3,GMLA Angels,10,12,Hungry Spot Heroes,
3,GMLA Guardians,19,9,Wembley Food Courts,
3,Hillarys Humpbacks,15,5,Como At Me Bro,
3,Karrakatta Grim Jobs,6,8,Maylands Muthapuckas,
4,Rocko Rodents,13,19,Perth City Puck Pirates,
4,Get Bentley,6,16,East Freo Bae Blades,
4,Murray Street Tramps,16,7,USSR,
4,Manning Manchilds,13,19,St James Addictions,
4,MosmAnonymous,6,8,Highgate Hommus-sexuals,
4,Scarborough Scar Bros,5,7,Hydepark Hacks,
4,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,11,10,Salter Point Shooters,
4,Stirling From The Bottom Now We're Here,6,16,South Perth Major Blazers,
4,Morning Brentwood,10,7,Heathcote Hangers,
4,Wilson Castaways,9,11,Black Wall Reach Arounds,
4,50 Shades of Graylands,12,5,Bull Creek Buttchuggers,
4,Subiaco Silkworms,8,10,Inglewood Coldcuts,
4,Lake Mongrels,13,6,GMLA Jurassic Pucks,
4,Swan View Sharks,18,10,Whitfords City Wristies,
4,Innaloominati,17,14,Booragoonbagz,
4,Mt Lawley Chai Lattes,15,3,Perth Glory Holez,
4,Yokine Reservoir Dogs,9,11,South Perth Shakas,
4,North Perth Bald Beavers,6,12,West Stirling Banjo Breakers,
4,West Coast Spastic Eagles,11,10,City Beach Kooks,
4,Wembley Blue Light Discos,14,7,Dalkeith Dalqueefs,
4,Swanbourne Nudists,21,11,Whorebin Grovers,
4,Cottesloe Cowards,0,10,Mt Pleasant Mounties,
4,Mindarie Molotovs,11,7,Mosman Mooseknuckles,
4,GMLA Guardians,12,6,Leederphiles Rolferhockey,
4,Claremont Cereal Killahs,5,6,Dianella Demons,
4,Bicton Four'n Twenty,13,11,GMLA Angels,
4,Mullaloozers,8,5,Doubleview Double Yewws,
4,Bicton Bath Salts,6,12,Melville Massiv,
4,Churchlands Hellraisers,14,11,Mount Lawless,
4,Como Mo Co,11,7,Greenmount Doom,
4,Bicton Banter Lords,10,12,Balcatta Bandits,
4,Como At Me Bro,7,14,Rosemount Rinsers,
4,Daglish Dhe Moisties,17,15,Wembley Food Courts,
4,Kensington Kermits,10,7,K-Town Cooks,
4,Karrakatta Grim Jobs,6,8,Ocean Beef,
4,Hungry Spot Heroes,12,7,Creepy Crawleys,
4,Morley Puck Troopers,12,5,Maylands Muthapuckas,
4,Dog Swamp Swamp Dogs,7,16,Hillarys Humpbacks,
5,Rocko Rodents,10,15,Wilson Castaways,
5,Booragoonbagz,6,19,Manning Manchilds,
5,MosmAnonymous,7,15,Perth City Puck Pirates,
5,West Coast Spastic Eagles,17,3,Scarborough Scar Bros,
5,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,11,9,Bull Creek Buttchuggers,
5,Perth Glory Holez,7,1,Stirling From The Bottom Now We're Here,
5,Whorebin Grovers,8,10,Morning Brentwood,
5,Get Bentley,5,13,Murray Street Tramps,
5,East Freo Bae Blades,3,9,Dalkeith Dalqueefs,
5,USSR,5,17,Swanbourne Nudists,
5,St James Addictions,10,8,Innaloominati,
5,Highgate Hommus-sexuals,10,8,Mt Lawley Chai Lattes,
5,Hydepark Hacks,8,15,Morley Puck Troopers,
5,Salter Point Shooters,8,14,Subiaco Silkworms,
5,South Perth Major Blazers,5,10,South Perth Shakas,
5,Heathcote Hangers,5,9,Yokine Reservoir Dogs,
5,Black Wall Reach Arounds,11,7,City Beach Kooks,
5,Inglewood Coldcuts,15,6,50 Shades of Graylands,
5,GMLA Jurassic Pucks,6,12,North Perth Bald Beavers,
5,Swan View Sharks,6,9,Lake Mongrels,
5,Creepy Crawleys,9,8,Wembley Blue Light Discos,
5,Whitfords City Wristies,6,15,Mullaloozers,
5,Melville Massiv,6,11,Como Mo Co,
5,Bicton Banter Lords,12,10,Dianella Demons,
5,Mt Pleasant Mounties,15,8,Como At Me Bro,
5,Leederphiles Rolferhockey,4,15,Daglish Dhe Moisties,
5,Hungry Spot Heroes,5,7,Karrakatta Grim Jobs,
5,Mount Lawless,13,9,Dog Swamp Swamp Dogs,
5,Rosemount Rinsers,13,9,Bicton Four'n Twenty,
5,Wembley Food Courts,9,8,Hillarys Humpbacks,
5,West Stirling Banjo Breakers,15,7,Doubleview Double Yewws,
5,Mosman Mooseknuckles,4,6,Claremont Cereal Killahs,
5,GMLA Angels,8,9,Maylands Muthapuckas,OT
5,Greenmount Doom,9,15,Churchlands Hellraisers,
5,Balcatta Bandits,9,6,Mindarie Molotovs,
5,K-Town Cooks,9,8,Bicton Bath Salts,
5,Ocean Beef,9,15,GMLA Guardians,
6,Morning Brentwood,12,3,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,
6,Murray Street Tramps,9,14,Hydepark Hacks,
6,Yokine Reservoir Dogs,14,1,Wilson Castaways,
6,Highgate Hommus-sexuals,6,3,South Perth Major Blazers,
6,Salter Point Shooters,6,7,Black Wall Reach Arounds,OT
6,Scarborough Scar Bros,3,5,St James Addictions,
6,Stirling From The Bottom Now We're Here,6,18,Perth City Puck Pirates,
6,MosmAnonymous,7,8,East Freo Bae Blades,
6,USSR,9,12,Get Bentley,
6,Rocko Rodents,7,17,Heathcote Hangers,
6,Whorebin Grovers,15,9,Booragoonbagz,
6,Perth Glory Holez,5,9,West Coast Spastic Eagles,
6,Bull Creek Buttchuggers,15,11,GMLA Jurassic Pucks,
6,Creepy Crawleys,14,8,Subiaco Silkworms,
6,Wembley Blue Light Discos,9,6,Inglewood Coldcuts,
6,Manning Manchilds,10,9,Swan View Sharks,
6,Dalkeith Dalqueefs,8,12,Swanbourne Nudists,
6,North Perth Bald Beavers,14,8,Mt Lawley Chai Lattes,
6,Whitfords City Wristies,9,8,South Perth Shakas,
6,City Beach Kooks,12,15,50 Shades of Graylands,
6,Lake Mongrels,11,5,Innaloominati,
6,Wembley Food Courts,9,14,Mount Lawless,
6,Mt Pleasant Mounties,13,4,K-Town Cooks,
6,Mullaloozers,6,14,West Stirling Banjo Breakers,
6,Morley Puck Troopers,11,8,Dianella Demons,
6,Maylands Muthapuckas,16,4,Como At Me Bro,
6,Bicton Four'n Twenty,5,13,Karrakatta Grim Jobs,
6,Doubleview Double Yewws,17,5,Dog Swamp Swamp Dogs,
6,Greenmount Doom,7,9,Claremont Cereal Killahs,
6,Hillarys Humpbacks,5,11,Churchlands Hellraisers,
6,Como Mo Co,8,10,Balcatta Bandits,
6,GMLA Guardians,10,6,Hungry Spot Heroes,
6,Leederphiles Rolferhockey,6,10,Mindarie Molotovs,
6,Bicton Bath Salts,6,10,Kensington Kermits,
6,Melville Massiv,11,10,Bicton Banter Lords,OT
6,Mosman Mooseknuckles,8,9,Ocean Beef,
6,Rosemount Rinsers,8,7,GMLA Angels,
7,Highgate Hommus-sexuals,10,12,Morning Brentwood,
7,Yokine Reservoir Dogs,11,2,Hydepark Hacks,
7,Murray Street Tramps,6,7,Scarborough Scar Bros,
7,South Perth Major Blazers,6,19,Black Wall Reach Arounds,
7,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,6,5,Heathcote Hangers,OT
7,Perth City Puck Pirates,10,6,East Freo Bae Blades,
7,MosmAnonymous,9,6,Get Bentley,
7,Wilson Castaways,4,9,Dalkeith Dalqueefs,
7,USSR,6,5,Rocko Rodents,
7,Booragoonbagz,8,12,St James Addictions,
7,Innaloominati,18,7,Whorebin Grovers,
7,West Coast Spastic Eagles,5,20,Swan View Sharks,
7,50 Shades of Graylands,7,8,Perth Glory Holez,
7,Swanbourne Nudists,8,9,Salter Point Shooters,
7,Mt Lawley Chai Lattes,7,2,Stirling From The Bottom Now We're Here,
7,Creepy Crawleys,11,7,Inglewood Coldcuts,
7,Wembley Blue Light Discos,12,5,Bull Creek Buttchuggers,
7,Manning Manchilds,3,14,Whitfords City Wristies,
7,GMLA Angels,5,6,Kensington Kermits,
7,Lake Mongrels,12,7,City Beach Kooks,
7,Karrakatta Grim Jobs,10,2,Bicton Bath Salts,
7,Mount Lawless,9,10,Melville Massiv,
7,Claremont Cereal Killahs,20,9,Como At Me Bro,
7,Morley Puck Troopers,8,13,Como Mo Co,
7,Mindarie Molotovs,8,14,Daglish Dhe Moisties,
7,Hillarys Humpbacks,11,17,GMLA Guardians,
7,K-Town Cooks,16,12,Leederphiles Rolferhockey,
7,West Stirling Banjo Breakers,20,12,Bicton Four'n Twenty,
7,Churchlands Hellraisers,6,7,Bicton Banter Lords,
7,Wembley Food Courts,5,7,Mosman Mooseknuckles,
7,Mt Pleasant Mounties,13,5,Rosemount Rinsers,
7,Dianella Demons,16,10,Mullaloozers,
7,Balcatta Bandits,10,4,Ocean Beef,
7,Hungry Spot Heroes,11,7,North Perth Bald Beavers,
7,Doubleview Double Yewws,12,6,South Perth Shakas,
7,GMLA Jurassic Pucks,5,9,Subiaco Silkworms,
7,Dog Swamp Swamp Dogs,8,13,Greenmount Doom,
8,West Stirling Banjo Breakers,5,13,Morning Brentwood,
8,Churchlands Hellraisers,6,13,Balcatta Bandits,
8,Karrakatta Grim Jobs,9,5,Wembley Blue Light Discos,
8,Black Wall Reach Arounds,14,13,Yokine Reservoir Dogs,OT
8,Morley Puck Troopers,10,11,Mount Lawless,
8,Kensington Kermits,17,9,Creepy Crawleys,
8,North Perth Bald Beavers,10,13,Highgate Hommus-sexuals,
8,Ocean Beef,13,7,Hillarys Humpbacks,
8,Como Mo Co,11,12,Mt Pleasant Mounties,
8,Subiaco Silkworms,2,14,Maylands Muthapuckas,
8,Dalkeith Dalqueefs,4,9,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,
8,Hydepark Hacks,7,9,St James Addictions,
8,Rosemount Rinsers,21,7,Whitfords City Wristies,
8,Inglewood Coldcuts,9,12,South Perth Shakas,
8,50 Shades of Graylands,4,15,Claremont Cereal Killahs,
8,Mosman Mooseknuckles,10,4,Hungry Spot Heroes,
8,Perth City Puck Pirates,4,14,Heathcote Hangers,
8,Bicton Four'n Twenty,9,12,Wembley Food Courts,
8,Mindarie Molotovs,12,11,Melville Massiv,
8,Wilson Castaways,9,14,Manning Manchilds,
8,Swanbourne Nudists,7,13,Scarborough Scar Bros,
8,Mullaloozers,11,7,West Coast Spastic Eagles,
8,Salter Point Shooters,3,19,K-Town Cooks,
8,Innaloominati,7,6,Swan View Sharks,
8,Leederphiles Rolferhockey,12,13,Bicton Banter Lords,
8,Daglish Dhe Moisties,20,15,Greenmount Doom,
8,Booragoonbagz,13,12,Murray Street Tramps,OT
8,Dianella Demons,14,6,GMLA Jurassic Pucks,
8,Lake Mongrels,12,8,Bull Creek Buttchuggers,
8,Get Bentley,10,18,City Beach Kooks,
8,GMLA Guardians,14,12,GMLA Angels,
8,Perth Glory Holez,5,10,Doubleview Double Yewws,
8,East Freo Bae Blades,6,15,Mt Lawley Chai Lattes,
8,Whorebin Grovers,,,Dog Swamp Swamp Dogs,
8,Bicton Bath Salts,16,2,Stirling From The Bottom Now We're Here,
8,Como At Me Bro,11,6,USSR,
8,MosmAnonymous,7,9,Rocko Rodents,
9,GMLA Jurassic Pucks,7,5,Wembley Blue Light Discos,
9,Highgate Hommus-sexuals,4,16,Churchlands Hellraisers,
9,Balcatta Bandits,16,7,Claremont Cereal Killahs,
9,Mt Pleasant Mounties,8,11,Karrakatta Grim Jobs,
9,Bicton Banter Lords,11,10,Morley Puck Troopers,OT
9,Kensington Kermits,7,12,Morning Brentwood,
9,Maylands Muthapuckas,11,5,Black Wall Reach Arounds,
9,Mount Lawless,,,Ocean Beef,
9,Wembley Food Courts,12,14,West Stirling Banjo Breakers,
9,Subiaco Silkworms,10,7,Lake Mongrels,
9,Creepy Crawleys,9,8,Yokine Reservoir Dogs,
9,North Perth Bald Beavers,8,12,Swanbourne Nudists,
9,St James Addictions,8,9,Salter Point Shooters,OT
9,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,2,12,Como Mo Co,
9,Manning Manchilds,14,4,Murray Street Tramps,
9,Mosman Mooseknuckles,20,15,Daglish Dhe Moisties,
9,Swan View Sharks,8,12,Greenmount Doom,
9,Mindarie Molotovs,17,10,GMLA Guardians,
9,Dalkeith Dalqueefs,12,5,Innaloominati,
9,Hungry Spot Heroes,8,9,Mullaloozers,
9,Heathcote Hangers,11,10,Hydepark Hacks,OT
9,Whitfords City Wristies,18,6,Perth City Puck Pirates,
9,Scarborough Scar Bros,19,8,Inglewood Coldcuts,
9,Leederphiles Rolferhockey,8,9,Rosemount Rinsers,
9,Como At Me Bro,16,9,Rocko Rodents,
9,Hillarys Humpbacks,16,9,Bicton Four'n Twenty,
9,USSR,6,17,50 Shades of Graylands,
9,Bull Creek Buttchuggers,10,8,MosmAnonymous,
9,Stirling From The Bottom Now We're Here,7,14,Whorebin Grovers,
9,Melville Massiv,14,11,Dianella Demons,
9,Wilson Castaways,13,12,Booragoonbagz,
9,South Perth Shakas,6,18,K-Town Cooks,
9,Perth Glory Holez,12,4,Get Bentley,
9,City Beach Kooks,9,10,Doubleview Double Yewws,OT
9,East Freo Bae Blades,3,10,Bicton Bath Salts,
9,West Coast Spastic Eagles,,,Dog Swamp Swamp Dogs,
9,GMLA Angels,18,4,Mt Lawley Chai Lattes,
10,Claremont Cereal Killahs,6,7,Maylands Muthapuckas,OT
10,St James Addictions,5,12,Karrakatta Grim Jobs,
10,Innaloominati,5,8,Wembley Blue Light Discos,
10,K-Town Cooks,9,6,Morning Brentwood,
10,Mount Lawless,13,9,Mt Pleasant Mounties,
10,West Stirling Banjo Breakers,10,13,Mindarie Molotovs,
10,Creepy Crawleys,6,15,Highgate Hommus-sexuals,
10,Perth City Puck Pirates,10,9,Wilson Castaways,
10,Ocean Beef,15,5,Scarborough Scar Bros,
10,Yokine Reservoir Dogs,7,2,Lake Mongrels,
10,Rosemount Rinsers,11,7,Hillarys Humpbacks,
10,Como Mo Co,6,16,Mosman Mooseknuckles,
10,Swanbourne Nudists,7,15,Hydepark Hacks,
10,Mullaloozers,14,6,North Perth Bald Beavers,
10,Heathcote Hangers,8,6,Manning Manchilds,
10,Whitfords City Wristies,12,13,Murray Street Tramps,
10,Hungry Spot Heroes,7,10,Dalkeith Dalqueefs,
10,Inglewood Coldcuts,0,10,Swan View Sharks,
10,GMLA Guardians,15,13,Bicton Banter Lords,
10,Salter Point Shooters,6,8,Doubleview Double Yewws,
10,Booragoonbagz,7,10,South Perth Major Blazers,
10,Dianella Demons,13,14,Daglish Dhe Moisties,OT
10,City Beach Kooks,10,8,MosmAnonymous,
10,Greenmount Doom,23,7,Bicton Four'n Twenty,
10,Mt Lawley Chai Lattes,19,10,West Coast Spastic Eagles,
10,South Perth Shakas,5,20,Melville Massiv,
10,GMLA Jurassic Pucks,7,12,Leederphiles Rolferhockey,
10,Get Bentley,5,15,Bicton Bath Salts,
10,GMLA Angels,16,5,Como At Me Bro,
10,Whorebin Grovers,10,7,East Freo Bae Blades,
10,Dog Swamp Swamp Dogs,18,9,Bull Creek Buttchuggers,
10,USSR,8,15,Perth Glory Holez,
10,Rocko Rodents,13,7,Stirling From The Bottom Now We're Here,
10,Churchlands Hellraisers,21,8,Wembley Food Courts,
10,Black Wall Reach Arounds,11,15,Kensington Kermits,
10,50 Shades of Graylands,12,8,Subiaco Silkworms,
10,Balcatta Bandits,13,7,Morley Puck Troopers,
11,Black Wall Reach Arounds,12,6,Como At Me Bro,
11,Inglewood Coldcuts,10,9,GMLA Jurassic Pucks,
11,Highgate Hommus-sexuals,7,12,Morley Puck Troopers,
11,Hydepark Hacks,8,11,Mount Lawless,
11,Maylands Muthapuckas,10,0,Perth Glory Holez,
11,Bicton Bath Salts,6,7,Rosemount Rinsers,OT
11,Wembley Blue Light Discos,5,4,Wembley Food Courts,
11,Yokine Reservoir Dogs,5,10,Churchlands Hellraisers,
11,Murray Street Tramps,7,10,50 Shades of Graylands,
11,Bicton Banter Lords,,,West Stirling Banjo Breakers,
11,Bicton Four'n Twenty,0,10,Hungry Spot Heroes,
11,South Perth Shakas,15,14,Creepy Crawleys,
11,Doubleview Double Yewws,7,13,Mosman Mooseknuckles,
11,Morning Brentwood,6,9,Como Mo Co,
11,Subiaco Silkworms,4,8,Kensington Kermits,
11,Leederphiles Rolferhockey,5,7,Balcatta Bandits,
11,Greenmount Doom,7,9,Mt Pleasant Mounties,
11,Claremont Cereal Killahs,6,11,Karrakatta Grim Jobs,
11,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,5,9,K-Town Cooks,
11,Scarborough Scar Bros,,,Hillarys Humpbacks,
11,Swan View Sharks,6,8,Ocean Beef,
11,Dianella Demons,11,13,Mindarie Molotovs,
11,Swanbourne Nudists,14,11,Booragoonbagz,
11,Whitfords City Wristies,0,10,Daglish Dhe Moisties,
11,Manning Manchilds,8,17,GMLA Angels,
11,Mullaloozers,,,Melville Massiv,
11,St James Addictions,11,12,Lake Mongrels,
11,North Perth Bald Beavers,13,7,City Beach Kooks,
11,Heathcote Hangers,13,10,Innaloominati,
11,Salter Point Shooters,5,7,Dalkeith Dalqueefs,
11,GMLA Guardians,14,8,Dog Swamp Swamp Dogs,
11,Wilson Castaways,12,6,USSR,
11,South Perth Major Blazers,6,4,West Coast Spastic Eagles,
11,Stirling From The Bottom Now We're Here,3,9,Get Bentley,
11,MosmAnonymous,6,11,Whorebin Grovers,
11,Bull Creek Buttchuggers,9,8,East Freo Bae Blades,
11,Mt Lawley Chai Lattes,8,14,Rocko Rodents,
12,Wembley Food Courts,7,13,Balcatta Bandits,
12,Bicton Bath Salts,7,9,Inglewood Coldcuts,
12,Bicton Four'n Twenty,9,12,Black Wall Reach Arounds,
12,Como At Me Bro,8,15,Bull Creek Buttchuggers,
12,City Beach Kooks,15,8,USSR,
12,Doubleview Double Yewws,29,8,Creepy Crawleys,
12,South Perth Shakas,5,10,50 Shades of Graylands,
12,Hydepark Hacks,14,7,GMLA Jurassic Pucks,
12,Maylands Muthapuckas,5,3,Yokine Reservoir Dogs,
12,Rosemount Rinsers,8,12,Morley Puck Troopers,
12,Ocean Beef,16,6,West Stirling Banjo Breakers,
12,Morning Brentwood,6,5,Hungry Spot Heroes,
12,Whorebin Grovers,15,12,Wilson Castaways,
12,Kensington Kermits,18,9,St James Addictions,
12,Churchlands Hellraisers,8,12,Como Mo Co,
12,Karrakatta Grim Jobs,10,0,Mount Lawless,
12,Mosman Mooseknuckles,7,3,Subiaco Silkworms,
12,Lake Mongrels,9,18,Highgate Hommus-sexuals,
12,Innaloominati,11,7,Claremont Cereal Killahs,
12,Mt Pleasant Mounties,14,3,How Much Wood Would a Parkwood Park if a Parkwood Could Park Wood,
12,K-Town Cooks,9,11,Heathcote Hangers,
12,Wembley Blue Light Discos,6,12,Murray Street Tramps,
12,Bicton Banter Lords,27,12,Manning Manchilds,
12,Mindarie Molotovs,13,4,Salter Point Shooters,
12,Perth City Puck Pirates,9,14,Swanbourne Nudists,
12,Mullaloozers,16,5,Scarborough Scar Bros,
12,Hillarys Humpbacks,8,12,Dianella Demons,
12,Dalkeith Dalqueefs,7,5,North Perth Bald Beavers,
12,Melville Massiv,12,0,Greenmount Doom,
12,Booragoonbagz,,,Whitfords City Wristies,
12,Daglish Dhe Moisties,11,9,GMLA Guardians,
12,Perth Glory Holez,16,3,South Perth Major Blazers,
12,MosmAnonymous,5,15,Mt Lawley Chai Lattes,
12,Dog Swamp Swamp Dogs,11,11,Leederphiles Rolferhockey,
12,Rocko Rodents,,,GMLA Angels,
12,Stirling From The Bottom Now We're Here,4,20,Swan View Sharks,
12,East Freo Bae Blades,5,18,West Coast Spastic Eagles,
Outlier,Kensington Kermits,17,4,South Perth Major Blazers,
Outlier,Daglish Dhe Moisties,0,10,Maylands Muthapuckas,
Outlier,South Perth Major Blazers,12,11,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,
Outlier,Get Bentley,8,11,Perth City Puck Pirates,
